Clase A 67.103.56.153
Clase A 60.187.228.193
Clase A 79.118.174.216
Clase A 62.25.16.211
Clase A 115.22.200.218
Clase A 26.52.124.7
Clase A 23.173.174.93
Clase A 59.57.81.49
Clase A 18.166.146.224
Clase A 90.42.27.176
Clase A 76.209.142.41
Clase A 125.122.6.53
Clase A 2.25.3.64
Clase A 66.89.33.181
Clase A 66.136.225.150
Clase A 31.196.142.48
Clase A 26.189.95.244
Clase A 45.139.107.230
Clase A 125.111.114.111
Clase A 19.168.20.48
Clase A 52.13.155.62
Clase B 139.49.90.83
Clase B 132.152.195.30
Clase B 190.27.65.179
Clase B 143.118.115.146
Clase B 149.58.99.183
Clase C 213.77.224.94
Clase C 204.207.113.109
Clase C 194.63.187.18
Clase C 199.86.11.221
La Clase A tiene mayor cantidades de direcciones con 21direcciones(s)
La Clase C tiene menor cantidad de direcciones con 5 direcciones(s)
